Month,Kim Kardashian: (Worldwide),Khloe Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide)
2007-01,2,<1,<1,<1,2
2007-02,12,<1,<1,<1,1
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,1
2007-06,5,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,7,<1,<1,<1,1
2007-10,13,<1,<1,<1,1
2007-11,18,<1,<1,<1,2
2007-12,17,<1,1,<1,2
2008-01,13,<1,<1,<1,2
2008-02,10,<1,<1,<1,1
2008-03,13,<1,<1,<1,1
2008-04,16,<1,<1,<1,1
2008-05,15,<1,<1,<1,2
2008-06,13,<1,<1,<1,1
2008-07,12,1,<1,<1,1
2008-08,16,<1,<1,<1,1
2008-09,15,<1,<1,<1,1
2008-10,14,<1,<1,<1,1
2008-11,11,<1,<1,<1,1
2008-12,12,1,<1,<1,1
2009-01,12,1,<1,<1,1
2009-02,11,<1,<1,<1,1
2009-03,13,1,1,<1,1
2009-04,15,1,1,<1,1
2009-05,14,1,1,<1,1
2009-06,12,1,1,<1,1
2009-07,15,1,1,<1,1
2009-08,15,2,4,<1,1
2009-09,14,6,3,<1,1
2009-10,13,4,2,<1,1
2009-11,13,3,1,<1,1
2009-12,15,3,3,<1,1
2010-01,17,2,2,<1,1
2010-02,18,2,3,1,1
2010-03,17,2,2,<1,1
2010-04,25,2,2,<1,1
2010-05,20,2,1,<1,1
2010-06,20,4,2,1,1
2010-07,21,3,3,2,1
2010-08,25,3,3,2,1
2010-09,25,3,2,1,1
2010-10,27,3,2,1,1
2010-11,21,2,2,1,1
2010-12,24,3,2,1,1
2011-01,25,3,3,1,1
2011-02,32,2,2,1,1
2011-03,21,2,2,1,1
2011-04,18,3,2,1,1
2011-05,22,3,2,1,1
2011-06,24,5,2,1,1
2011-07,21,3,2,1,1
2011-08,44,3,3,3,2
2011-09,28,3,2,2,1
2011-10,35,3,2,1,1
2011-11,48,3,3,2,1
2011-12,29,4,5,2,2
2012-01,26,6,4,2,1
2012-02,24,4,3,2,1
2012-03,24,4,2,2,1
2012-04,27,5,3,2,1
2012-05,26,5,3,2,1
2012-06,30,3,3,2,2
2012-07,26,3,7,3,2
2012-08,27,3,4,3,2
2012-09,25,4,4,2,2
2012-10,23,4,3,2,2
2012-11,23,5,3,2,2
2012-12,28,3,2,2,2
2013-01,35,4,3,2,2
2013-02,26,3,2,2,2
2013-03,31,3,3,2,2
2013-04,33,4,3,2,2
2013-05,29,3,2,3,2
2013-06,59,4,3,3,3
2013-07,29,5,2,3,3
2013-08,26,7,4,3,4
2013-09,21,7,2,2,3
2013-10,33,6,2,2,3
2013-11,28,5,2,8,3
2013-12,25,7,2,6,3
2014-01,23,6,2,5,3
2014-02,22,5,2,7,3
2014-03,22,5,2,4,4
2014-04,23,4,2,3,4
2014-05,36,5,2,5,6
2014-06,31,6,5,6,5
2014-07,32,6,3,4,5
2014-08,34,5,3,5,6
2014-09,44,4,3,6,5
2014-10,27,4,2,4,6
2014-11,100,6,4,5,8
2014-12,37,6,7,6,8
2015-01,32,5,3,6,10
2015-02,38,6,3,7,12
2015-03,35,5,3,6,10
2015-04,28,5,3,9,27
2015-05,31,5,3,9,16
2015-06,35,5,2,7,15
2015-07,32,7,9,8,18
2015-08,33,6,4,8,26
2015-09,27,5,3,7,19
2015-10,25,13,4,7,14
2015-11,22,8,4,11,18
2015-12,35,8,8,9,19
2016-01,25,8,5,11,15
2016-02,27,8,3,8,16
2016-03,44,6,4,8,16
2016-04,24,5,3,7,19
2016-05,23,5,3,7,21
2016-06,22,7,3,7,18
2016-07,29,6,4,7,20
2016-08,25,4,3,7,20
2016-09,23,5,2,6,15
2016-10,42,5,2,5,15
2016-11,19,5,2,7,18
2016-12,20,4,2,6,18
2017-01,19,4,3,5,15
2017-02,16,4,2,4,13
2017-03,14,3,2,4,10
2017-04,20,3,3,9,13
2017-05,16,3,4,6,11
2017-06,15,5,2,4,11
2017-07,16,3,2,4,12
2017-08,14,3,2,4,14
2017-09,16,6,2,4,31
2017-10,18,6,3,5,15
2017-11,19,5,3,4,13
2017-12,15,7,3,3,14
2018-01,23,6,3,4,17
2018-02,20,5,3,4,37
2018-03,15,5,3,4,11
2018-04,18,24,3,4,10
2018-05,16,7,2,6,12
2018-06,15,5,2,4,7
2018-07,15,4,2,4,16
2018-08,17,4,5,5,13
2018-09,13,3,2,6,9
2018-10,14,3,2,3,8
2018-11,14,4,2,4,9
2018-12,13,3,2,4,9
2019-01,12,3,2,4,10
2019-02,13,9,2,5,13
2019-03,11,7,2,3,12
2019-04,12,3,3,3,7
2019-05,16,3,2,3,9
2019-06,11,4,2,3,9
2019-07,10,3,1,3,9
2019-08,9,2,1,2,9
2019-09,10,2,1,3,9
2019-10,10,2,1,3,15
2019-11,11,2,1,3,9
2019-12,11,2,2,5,9
2020-01,9,2,1,3,8
2020-02,9,2,1,3,7
2020-03,9,2,2,3,7
2020-04,12,3,3,3,10
2020-05,10,5,2,4,11
2020-06,10,3,2,4,9
2020-07,15,3,2,3,8
2020-08,9,2,2,4,9
2020-09,9,3,2,3,7
2020-10,11,2,2,3,8
2020-11,8,2,1,3,7
2020-12,8,2,1,3,7
2021-01,16,2,2,3,7
2021-02,12,2,2,5,6
2021-03,9,3,2,4,6
2021-04,10,9,3,4,6
2021-05,8,3,2,4,6
2021-06,11,3,2,4,6
2021-07,8,2,2,4,6
2021-08,8,2,2,3,9
2021-09,13,2,3,5,9
2021-10,10,2,5,3,6
2021-11,12,2,2,4,9
